Country,Num_2000,Num_2020
Afghanistan,51847,93762
United Arab Emirates,1234,4149
Armenia,225139,229840
Azerbaijan,80715,102373
Bangladesh,2319958,3843101
Bahrain,11956,27334
Brunei Darussalam,37196,53356
Bhutan,7208,10409
China,103888628,127297501
Cyprus,41033,55468
Georgia,39709,36401
"China, Hong Kong Region",29003833,32090734
Indonesia,445498,556629
India,4247561,5399891
British Indian Ocean Territory,0,0
Iran,52760,59116
Iraq,26451,42057
Israel,48042,67851
Jordan,43160,73282
Japan,1888139,1973194
Kazakhstan,7400,11820
Kyrgyzstan,30579,40445
Cambodia,2305328,2012856
Republic of Korea,1063020,1039012
Kuwait,16711,36891
Lao,4924900,7063348
Lebanon,1690823,2682509
Sri Lanka,19313667,21465927
"China, Macao Region",955401,1364076
Maldives,410047,472816
Myanmar,462930,849771
Mongolia,11609,18427
Malaysia,468745,623177
Nepal,1538092,2403923
Oman,4886,8090
Pakistan,237012,354818
Philippines,188192418,221352359
Korea,83903,92723
Occupied Palestinian Territory,17011,31407
Qatar,143340,592454
Saudi Arabia,6054,9437
Singapore,360214,540210
Spratly Islands,0,0
Syrian Arab Republic,123800,161673
Thailand,535117,773262
Tajikistan,45053,64281
Turkmenistan,4047,6143
Timor-Leste,105718,222810
Turkey,621716,856782
Taiwan,940160,998788
Uzbekistan,14109,16176
Viet Nam,979498,1487170
Yemen,259577,448773
